Faculty;Engineering
Department;Computer Engineering
tech_elective_count;8
social_elective_count;3
courses;
Code;Category
CENG111;mandatory
CENG113;mandatory
CENG115;mandatory
MATH141;mandatory
PHYS121;mandatory
ENG101;mandatory
CENG112;mandatory
MATH144;mandatory
ECON205;mandatory
MATH142;mandatory
PHYS122;mandatory
ENG102;mandatory
GCC101;mandatory
CENG211;mandatory
CENG213;mandatory
CENG215;mandatory
MATH255;mandatory
HIST201;mandatory
TURK201;mandatory
CENG212;mandatory
CENG214;mandatory
CENG216;mandatory
CENG218;mandatory
CENG222;mandatory
HIST202;mandatory
TURK202;mandatory
CENG311;mandatory
CENG315;mandatory
CENG323;mandatory
CENG312;mandatory
CENG316;mandatory
CENG318;mandatory
CENG322;mandatory
CENG411;mandatory
CENG415;mandatory
CENG400;mandatory
CENG416;mandatory
CENG370;technical_elective
CENG381;technical_elective
CENG382;technical_elective
CENG383;technical_elective
CENG384;technical_elective
CENG385;technical_elective
CENG386;technical_elective
CENG388;technical_elective
CENG389;technical_elective
CENG390;technical_elective
CENG391;technical_elective
CENG418;technical_elective
CENG424;technical_elective
CENG421;technical_elective
CENG422;technical_elective
CENG431;technical_elective
CENG432;technical_elective
CENG433;technical_elective
CENG434;technical_elective
CENG435;technical_elective
CENG436;technical_elective
CENG437;technical_elective
CENG441;technical_elective
CENG442;technical_elective
CENG443;technical_elective
CENG444;technical_elective
CENG451;technical_elective
CENG452;technical_elective
CENG461;technical_elective
CENG462;technical_elective
CENG463;technical_elective
CENG464;technical_elective
CENG465;technical_elective
CENG471;technical_elective
CENG472;technical_elective
CENG473;technical_elective
CENG481;technical_elective
CENG482;technical_elective
CENG483;technical_elective
CENG484;technical_elective
CENG485;technical_elective
CENG486;technical_elective
CENG487;technical_elective
CENG488;technical_elective
